Architecture,Starting LR,Optimizer,Weight Decay,Mixup,Dropout,Epoch,Loss Train,Loss Val,AUC Val,Total time (min)
DeiT,0.005,SGD,0.0001,TRUE,0.5,7,0.160,0.163,0.636,357.88
DeiT,0.005,SGD,0.0001,FALSE,0.5,8,0.158,0.162,0.634,405.26
DeiT,0.005,SGD,1.00E-05,TRUE,0.5,8,0.160,0.162,0.632,408.48
DeiT,0.005,SGD,0.001,FALSE,0.5,0,0.166,0.178,0.625,47.12
DeiT,0.1,SGD,0.0001,FALSE,0.5,0,0.166,0.162,0.622,45.03
DeiT,0.005,SGD,0.001,TRUE,0.5,0,0.167,0.175,0.621,44.87
DenseNet121,0.1,SGD,0.001,TRUE,0.5,0,0.163,0.164,0.610,20.78
DenseNet121,0.1,SGD,0.001,TRUE,0,0,0.164,0.163,0.608,33.93
DeiT,0.005,AdamW,0.001,FALSE,0,11,0.160,0.161,0.605,359.83
DeiT,0.005,AdamW,0.0001,FALSE,0,11,0.161,0.162,0.600,456.12
DeiT,0.01,AdamW,0.0001,FALSE,0,6,0.161,0.162,0.599,300.75
DeiT,0.005,AdamW,1.00E-05,FALSE,0,5,0.161,0.162,0.599,226.13
DeiT,0.005,AdamW,0,FALSE,0,9,0.161,0.162,0.597,384.86
DeiT,0.005,AdamW,0.001,TRUE,0,10,0.162,0.162,0.595,461.36
DeiT,0.005,AdamW,0,TRUE,0,11,0.161,0.162,0.595,539.66
DeiT,0.01,AdamW,0.0001,TRUE,0,5,0.162,0.162,0.594,232.53
DeiT,0.005,AdamW,0.0001,TRUE,0,9,0.162,0.162,0.593,395.91
DeiT,0.01,AdamW,1.00E-05,TRUE,0,13,0.162,0.162,0.593,557.66
DeiT,0.01,AdamW,1.00E-05,FALSE,0,7,0.161,0.162,0.592,351.15
DeiT,0.01,AdamW,0.001,FALSE,0,8,0.161,0.162,0.592,360.79
DeiT,0.005,AdamW,1.00E-05,TRUE,0,5,0.162,0.163,0.589,141.06
DeiT,0.01,AdamW,0,FALSE,0,11,0.161,0.162,0.588,525.08
DeiT,0.01,AdamW,0,TRUE,0,14,0.162,0.162,0.588,670.81
DeiT,0.01,AdamW,0.001,TRUE,0,13,0.162,0.163,0.580,550.58
DeiT,0.01,SGD,0.001,TRUE,0.5,0,0.166,0.177,0.578,44.94
DeiT,0.01,SGD,0.001,FALSE,0.5,0,0.166,0.172,0.570,44.90
DeiT,0.1,SGD,0.0001,TRUE,0.5,0,0.167,0.164,0.562,25.26
DeiT,0.05,SGD,0.001,FALSE,0,0,0.163,0.165,0.544,21.27
DeiT,0.05,SGD,0.001,TRUE,0.5,0,0.166,0.166,0.539,44.54
DeiT,0.05,SGD,0.001,FALSE,0.5,0,0.166,0.166,0.538,44.91
DeiT,0.05,SGD,0.001,TRUE,0,0,0.164,0.166,0.536,88.72
DeiT,0.1,SGD,0.001,FALSE,0.5,0,0.167,0.168,0.534,44.85
DenseNet121,0.1,AdamW,1.00E-05,FALSE,0,0,0.256,0.165,0.533,28.54
DeiT,0.1,SGD,0.001,FALSE,0,0,0.166,0.166,0.530,42.19
DeiT,0.1,SGD,0.001,TRUE,0,0,0.165,0.167,0.525,87.62
DeiT,0.01,AdamW,0,FALSE,0.5,3,0.163,0.165,0.520,195.55
DeiT,0.005,AdamW,0,FALSE,0.5,0,0.170,0.167,0.518,48.96
DeiT,0.01,AdamW,1.00E-05,TRUE,0.5,0,0.170,0.168,0.517,48.87
DeiT,0.01,AdamW,0,TRUE,0.5,8,0.163,0.165,0.517,430.18
DeiT,0.005,AdamW,0.0001,FALSE,0.5,4,0.163,0.165,0.516,241.76
DeiT,0.05,AdamW,0.001,TRUE,0,1,3.685,2.896,0.516,82.64
DeiT,0.01,AdamW,0.001,TRUE,0.5,6,0.163,0.165,0.515,341.62
DeiT,0.005,AdamW,0.0001,TRUE,0.5,1,0.166,0.167,0.514,97.72
DeiT,0.01,AdamW,1.00E-05,FALSE,0.5,0,0.170,0.169,0.514,48.85
DeiT,0.005,AdamW,0.001,FALSE,0.5,3,0.163,0.165,0.514,195.30
DeiT,0.005,AdamW,1.00E-05,FALSE,0.5,3,0.164,0.165,0.513,195.57
DeiT,0.005,AdamW,1.00E-05,TRUE,0.5,4,0.163,0.165,0.512,245.59
DeiT,0.1,AdamW,0.001,FALSE,0,1,4.419,3.874,0.511,81.15
DeiT,0.005,AdamW,0.001,TRUE,0.5,6,0.163,0.165,0.510,343.03
DeiT,0.005,AdamW,0,TRUE,0.5,6,0.163,0.165,0.509,341.99
DenseNet121,0.1,AdamW,0.0001,TRUE,0,0,0.213,0.165,0.509,21.32
DeiT,0.01,AdamW,0.001,FALSE,0.5,0,0.171,0.168,0.508,48.58
DeiT,0.05,AdamW,0.001,TRUE,0.5,0,4.297,4.252,0.505,48.44
DeiT,0.05,AdamW,0,FALSE,0,0,4.442,4.538,0.500,35.28
DeiT,0.05,AdamW,1.00E-05,FALSE,0,0,4.443,4.538,0.500,34.10
DeiT,0.05,AdamW,0.0001,FALSE,0,0,4.443,4.538,0.500,33.95
DeiT,0.05,AdamW,0.001,FALSE,0,0,4.444,4.538,0.500,35.30
DeiT,0.1,AdamW,0,FALSE,0,0,4.446,4.538,0.500,39.24
DeiT,0.1,AdamW,1.00E-05,FALSE,0,0,4.445,4.538,0.500,38.79
DeiT,0.1,AdamW,0.0001,FALSE,0,0,4.444,4.538,0.500,40.25
DeiT,0.05,AdamW,0,TRUE,0,0,4.443,4.538,0.500,44.46
DeiT,0.05,AdamW,1.00E-05,TRUE,0,0,4.443,4.538,0.500,44.16
DeiT,0.05,AdamW,0.0001,TRUE,0,0,4.443,4.538,0.500,41.06
DeiT,0.1,AdamW,0,TRUE,0,0,4.444,4.538,0.500,23.21
DeiT,0.1,AdamW,1.00E-05,TRUE,0,0,4.445,4.538,0.500,40.91
DeiT,0.1,AdamW,0.0001,TRUE,0,0,4.444,4.538,0.500,44.24
DeiT,0.1,AdamW,0.001,TRUE,0,0,4.444,4.538,0.500,42.04
DeiT,0.05,AdamW,0,FALSE,0.5,0,4.280,4.538,0.500,48.41
DeiT,0.05,AdamW,1.00E-05,FALSE,0.5,0,4.442,4.538,0.500,48.52
